622	aaa	0	2
1923	aaa	0	0
951	aaa	0	0
1957	aaa	0	1
1989	aaa	0	1
735	aaa	0	2
1353	aaa	0	1
866	aaa	0	0
1426	aaa	0	1
105	aaa	0	2
310	aaa	0	1
419	aaa	0	2
2481	aaa	0	2
504	aaa	0	1
1967	aaa	0	1
982	aaa	0	0
976	aaa	0	0
1132	aaa	0	0
2110	aaa	0	1
176	aaa	0	2
2877	aaa	0	1
581	aaa	0	2
1403	aaa	0	0
521	aaa	0	2
2682	aaa	0	1
991	aaa	0	0
2970	aaa	0	2
529	aaa	0	2
667	aaa	0	1
2059	aaa	0	1
555	aaa	0	2
265	aaa	0	2
867	aaa	0	0
1207	aaa	0	0
371	aaa	0	2
2280	aaa	0	1
664	aaa	0	1
877	aaa	0	0
1396	aaa	0	0
4	aaa	0	2
2233	aaa	0	1
148	aaa	0	1
2951	aaa	0	2
2103	aaa	0	1
563	aaa	0	2
1897	aaa	0	0
2696	aaa	0	2
1214	aaa	0	0
224	aaa	0	2
1619	aaa	0	0
691	aaa	0	2
1332	aaa	0	1
2221	aaa	0	1
2739	aaa	0	2
1524	aaa	0	1
2728	aaa	0	2
2374	aaa	0	0
1093	aaa	0	0
1116	aaa	0	0
1071	aaa	0	0
1542	aaa	0	0
2368	aaa	0	0
2848	aaa	0	1
2313	aaa	0	1
593	aaa	0	2
2146	aaa	0	1
959	aaa	0	0
934	aaa	0	0
250	aaa	0	2
2573	aaa	0	2
25	aaa	0	2
2195	aaa	0	1
1847	aaa	0	0
2575	aaa	0	2
1726	aaa	0	0
111	aaa	0	2
2001	aaa	0	1
586	aaa	0	2
482	aaa	0	1
2188	aaa	0	1
2068	aaa	0	1
301	aaa	0	1
617	aaa	0	2
2279	aaa	0	1
1156	aaa	0	0
1172	aaa	0	1
948	aaa	0	0
2133	aaa	0	1
21	aaa	0	2
456	aaa	0	1
2272	aaa	0	1
676	aaa	0	1
1561	aaa	0	0
2974	aaa	0	2
536	aaa	0	2
2520	aaa	0	2
528	aaa	0	2
2158	aaa	0	1
1391	aaa	0	0
1855	aaa	0	0
699	aaa	0	2
2820	aaa	0	2
1772	aaa	0	0
2439	aaa	0	1
1703	aaa	0	0
1275	aaa	0	1
389	aaa	0	2
2905	aaa	0	1
2604	aaa	0	2
2435	aaa	0	1
242	aaa	0	2
19	aaa	0	2
337	aaa	0	2
2509	aaa	0	2
1990	aaa	0	1
2892	aaa	0	1
2718	aaa	0	2
1259	aaa	0	0
1087	aaa	0	0
2688	aaa	0	2
1386	aaa	0	0
2957	aaa	0	2
240	aaa	0	2
1405	aaa	0	1
884	aaa	0	0
2628	aaa	0	2
6	aaa	0	2
1389	aaa	0	0
1821	aaa	0	0
1423	aaa	0	1
921	aaa	0	0
2985	aaa	0	2
331	aaa	0	2
2676	aaa	0	1
2479	aaa	0	2
999	aaa	0	0
413	aaa	0	2
388	aaa	0	2
1023	aaa	0	0
1589	aaa	0	0
2386	aaa	0	0
2880	aaa	0	1
2252	aaa	0	1
881	aaa	0	0
2579	aaa	0	2
2810	aaa	0	2
2102	aaa	0	1
1802	aaa	0	0
2329	aaa	0	1
2036	aaa	0	1
1174	aaa	0	1
1700	aaa	0	0
1873	aaa	0	0
1588	aaa	0	0
2229	aaa	0	1
391	aaa	0	2
886	aaa	0	0
36	aaa	0	2
939	aaa	0	0
1608	aaa	0	0
546	aaa	0	2
757	aaa	0	2
2998	aaa	0	2
776	aaa	0	2
113	aaa	0	2
882	aaa	0	0
2149	aaa	0	1
1363	aaa	0	1
1044	aaa	0	0
2815	aaa	0	2
1325	aaa	0	1
836	aaa	0	0
1804	aaa	0	0
1110	aaa	0	0
1329	aaa	0	1
2654	aaa	0	2
2839	aaa	0	2
2531	aaa	0	2
2043	aaa	0	1
206	aaa	0	2
823	aaa	0	0
2515	aaa	0	2
481	aaa	0	1
73	aaa	0	2
2777	aaa	0	1
1749	aaa	0	0
1640	aaa	0	0
200	aaa	0	2
1946	aaa	0	1
1576	aaa	0	0
1659	aaa	0	0
2156	aaa	0	1
1050	aaa	0	0
1616	aaa	0	0
1462	aaa	0	0
209	aaa	0	2
2844	aaa	0	2
1611	aaa	0	0
541	aaa	0	2
75	aaa	0	2
284	aaa	0	2
2824	aaa	0	2
835	aaa	0	0
2483	aaa	0	2
2168	aaa	0	1
1367	aaa	0	0
1636	aaa	0	0
2689	aaa	0	2
2987	aaa	0	2
2505	aaa	0	2
2977	aaa	0	2
810	aaa	0	0
1394	aaa	0	0
1484	aaa	0	0
870	aaa	0	0
1336	aaa	0	1
1880	aaa	0	0
909	aaa	0	0
1572	aaa	0	0
1466	aaa	0	0
1435	aaa	0	1
1279	aaa	0	1
2975	aaa	0	2
588	aaa	0	2
701	aaa	0	2
2692	aaa	0	2
2950	aaa	0	2
1974	aaa	0	1
2213	aaa	0	1
2878	aaa	0	1
2535	aaa	0	2
796	aaa	0	2
61	aaa	0	2
2909	aaa	0	1
865	aaa	0	0
2616	aaa	0	2
2733	aaa	0	2
1349	aaa	0	1
1753	aaa	0	0
1316	aaa	0	1
562	aaa	0	2
1253	aaa	0	0
226	aaa	0	2
804	aaa	0	0
1255	aaa	0	0
1924	aaa	0	0
1424	aaa	0	1
1720	aaa	0	0
2084	aaa	0	1
80	aaa	0	2
1699	aaa	0	0
2205	aaa	0	1
614	aaa	0	2
1240	aaa	0	1
768	aaa	0	2
1415	aaa	0	1
471	aaa	0	1
355	aaa	0	2
317	aaa	0	1
1483	aaa	0	0
652	aaa	0	1
228	aaa	0	2
2544	aaa	0	2
965	aaa	0	0
174	aaa	0	1
2903	aaa	0	1
2679	aaa	0	1
473	aaa	0	1
1762	aaa	0	0
191	aaa	0	2
1217	aaa	0	1
254	aaa	0	2
246	aaa	0	2
1838	aaa	0	0
1593	aaa	0	0
2992	aaa	0	2
1478	aaa	0	0
725	aaa	0	2
2470	aaa	0	2
2080	aaa	0	1
181	aaa	0	2
626	aaa	0	2
2183	aaa	0	1
485	aaa	0	1
754	aaa	0	2
1331	aaa	0	1
2782	aaa	0	1
2243	aaa	0	1
2928	aaa	0	2
653	aaa	0	1
920	aaa	0	0
169	aaa	0	1
2469	aaa	0	2
2464	aaa	0	2
1951	aaa	0	1
1913	aaa	0	0
1281	aaa	0	1
2963	aaa	0	2
973	aaa	0	0
308	aaa	0	1
321	aaa	0	1
2150	aaa	0	1
712	aaa	0	2
1917	aaa	0	0
